# iteration temperature current_score best_score accepted
0 5000 147734 147734 INIT
1 5000 25677 25677 ACCEPT
2 5000 14413 14413 ACCEPT
3 5000 13901 13901 ACCEPT
4 5000 12365 12365 ACCEPT
5 5000 8781 8781 ACCEPT
6 4750.000000 8525 8525 ACCEPT
7 4750.000000 6989 6989 ACCEPT
8 4750.000000 6061 6061 ACCEPT
9 4750.000000 6141 6061 ACCEPT
10 4750.000000 5901 5901 ACCEPT
11 4512.500000 5821 5821 ACCEPT
12 4512.500000 5421 5421 ACCEPT
13 4512.500000 5325 5325 ACCEPT
14 4512.500000 5085 5085 ACCEPT
15 4512.500000 4515 4515 ACCEPT
16 4286.875000 4365 4365 ACCEPT
17 4286.875000 4269 4269 ACCEPT
18 4286.875000 4269 4269 ACCEPT
19 4286.875000 4979 4269 REJECT
20 4286.875000 4259 4259 ACCEPT
21 4072.531250 5002 4259 ACCEPT
22 4072.531250 4259 4259 ACCEPT
23 4072.531250 5139 4259 ACCEPT
24 4072.531250 4409 4259 ACCEPT
25 4072.531250 4353 4259 ACCEPT
26 3868.904687 4217 4217 ACCEPT
27 3868.904687 4353 4217 ACCEPT
28 3868.904687 4217 4217 ACCEPT
29 3868.904687 4217 4217 ACCEPT
30 3868.904687 5493 4217 ACCEPT
31 3675.459453 4217 4217 ACCEPT
32 3675.459453 4009 4009 ACCEPT
33 3675.459453 3933 3933 ACCEPT
34 3675.459453 3859 3859 ACCEPT
35 3675.459453 3827 3827 ACCEPT
36 3491.686480 3859 3827 ACCEPT
37 3491.686480 3875 3827 ACCEPT
38 3491.686480 4131 3827 ACCEPT
39 3491.686480 4227 3827 ACCEPT
40 3491.686480 3859 3827 ACCEPT
41 3317.102156 4227 3827 ACCEPT
42 3317.102156 3875 3827 ACCEPT
43 3317.102156 3859 3827 ACCEPT
44 3317.102156 4163 3827 ACCEPT
45 3317.102156 4179 3827 ACCEPT
46 3151.247048 4163 3827 ACCEPT
47 3151.247048 4179 3827 ACCEPT
